ticker,fiscal_year_t,target_year,temporal_folds,target,predictor_year_t,cpi_observation_year,fx_observation_year_numerator,fx_observation_year_denominator,intl_cpi_inflation_lag1_wdi,intl_fx_change_official_lag1_wdi,fx_zero_change
زمگسا,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
زمگسا,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
زپارس,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
ساراب,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
ساراب,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
ساراب,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
ساراب,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
ساراب,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
ساراب,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
ساراب,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
ساربیل,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
ساربیل,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
ساروم,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
ساروم,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
ساروم,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
ساروم,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
ساروم,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سبجنو,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سبجنو,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سبهان,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
سبهان,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
سبهان,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
سبهان,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
سبهان,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
سبهان,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سبهان,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
ستران,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
ستران,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
ستران,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
ستران,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
ستران,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
ستران,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سخاش,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سخاش,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سخزر,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
سخزر,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
سخزر,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سخزر,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سخوز,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
سخوز,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
