model_family,configuration_id,temporal_fold,seed,validation_pr_auc
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,fold1_validation,20260720,0.380339146935
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,fold1_validation,20260721,0.41449565473
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,fold2_validation,20260719,0.247249539972
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,fold2_validation,20260720,0.235073131686
xgboost,xgboost__lr_0.1__depth_2__mcw_1__lambda_10,fold2_validation,20260721,0.328613257298
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,fold1_validation,20260719,0.379783381319
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,fold1_validation,20260720,0.364718063115
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,fold1_validation,20260721,0.340419481752
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,fold2_validation,20260719,0.263834123393
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,fold2_validation,20260720,0.221202781317
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_1,fold2_validation,20260721,0.223765049546
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,fold1_validation,20260719,0.345408339051
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,fold1_validation,20260720,0.358614294145
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,fold1_validation,20260721,0.342833731815
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,fold2_validation,20260719,0.23209664536
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,fold2_validation,20260720,0.333910917675
xgboost,xgboost__lr_0.1__depth_2__mcw_5__lambda_10,fold2_validation,20260721,0.251194146976
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,fold1_validation,20260719,0.353245885903
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,fold1_validation,20260720,0.381950984349
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,fold1_validation,20260721,0.38509340193
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,fold2_validation,20260719,0.27212899712
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,fold2_validation,20260720,0.227542005593
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_1,fold2_validation,20260721,0.213494178258
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,fold1_validation,20260719,0.398899125564
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,fold1_validation,20260720,0.424413363689
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,fold1_validation,20260721,0.397091815943
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,fold2_validation,20260719,0.263596713165
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,fold2_validation,20260720,0.293251429436
xgboost,xgboost__lr_0.1__depth_3__mcw_1__lambda_10,fold2_validation,20260721,0.251721897671
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,fold1_validation,20260719,0.359781950861
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,fold1_validation,20260720,0.364079837569
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,fold1_validation,20260721,0.34467776474
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,fold2_validation,20260719,0.213236695552
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,fold2_validation,20260720,0.214375576436
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_1,fold2_validation,20260721,0.209367966889
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,fold1_validation,20260719,0.335401483444
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,fold1_validation,20260720,0.35290125252
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,fold1_validation,20260721,0.34538553848
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,fold2_validation,20260719,0.223731472387
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,fold2_validation,20260720,0.288945479709
xgboost,xgboost__lr_0.1__depth_3__mcw_5__lambda_10,fold2_validation,20260721,0.298263678987
