sample_design,ticker,fiscal_year_t,target_year,predictor_row_key_t,dataset_split,temporal_folds,pair_cutoff_date,required_window_retrieval_start,required_window_end_max_strictly_before_cutoff,equity_return_window,realized_volatility,amihud_illiquidity,missing_price_day_count,zero_traded_value_day_count,usable_daily_return_count,usable_amihud_day_count,m2_value_status
main_rule_a_primary,لابسا,1395,1396,لابسا|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,لبوتان,1395,1396,لبوتان|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,لخزر,1395,1396,لخزر|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,لسرما,1395,1396,لسرما|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,همراه,1395,1396,همراه|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,پدرخش,1395,1396,پدرخش|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,پسهند,1395,1396,پسهند|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,پلاسک,1395,1396,پلاسک|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,چافست,1395,1396,چافست|1395,development,fold1_validation;fold2_train,2017-01-19,2015-12-19,2017-01-18,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,چکارن,1395,1396,چکارن|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
main_rule_a_primary,کبافق,1395,1396,کبافق|1395,development,fold1_validation;fold2_train,2017-07-21,2016-06-20,2017-07-20,,,,,,,,UNRESOLVED_NO_OBSERVATION_RETRIEVED
