ticker,target_year,pair_cutoff_date,window_start_calendar_date,t0_trading_date,qTotCap,volume_qTotTran5J,trade_count_zTotTran,raw_close,adjusted_status,first_raw_observation_date_this_ticker,first_adjusted_price_date_this_ticker,days_from_window_start_to_first_raw_observation,days_from_window_start_to_first_adjusted_price,root_cause
کفپارس,1394,2015-04-19,2014-04-18,2014-04-19,0.0,0.0,0.0,3558.0,ADJUSTED_CLOSE_UNRESOLVED,2013-03-25,2013-05-20,-389,-333,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
کگاز,1394,2015-07-20,2014-07-19,2014-07-20,0.0,0.0,0.0,4746.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بالبر,1395,2016-01-20,2015-01-19,2015-01-19,0.0,0.0,0.0,3082.0,ADJUSTED_CLOSE_UNRESOLVED,2013-12-21,2014-01-27,-394,-357,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بترانس,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,8138.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بکاب,1395,2016-01-20,2015-01-19,2015-01-19,0.0,0.0,0.0,8490.0,ADJUSTED_CLOSE_UNRESOLVED,2013-12-21,2013-12-21,-394,-394,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
بکام,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,1682.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-29,-392,-384,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
تپمپی,1395,2015-10-22,2014-10-21,2014-10-21,0.0,0.0,0.0,3869.0,ADJUSTED_CLOSE_UNRESOLVED,2013-09-21,2013-09-21,-395,-395,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
تکمبا,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,998.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
جم,1395,2016-07-19,2015-07-18,2015-08-08,0.0,0.0,0.0,1000.0,ADJUSTED_CLOSE_UNRESOLVED,2015-08-08,2015-08-09,21,22,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
حپترو,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,2892.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-30,-759,-748,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
حکشتی,1395,2015-10-22,2014-10-21,2014-10-21,0.0,0.0,0.0,3588.0,ADJUSTED_CLOSE_UNRESOLVED,2012-09-22,2012-09-22,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خاذین,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,3896.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خبهمن,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,2329.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-22,-759,-756,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ختوقا,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,3241.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-07-22,-759,-726,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خرینگ,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,2306.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-23,-759,-755,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خمحور,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,1733.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-22,-759,-756,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خمهر,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,1786.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خنصیر,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,3837.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-22,-759,-756,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خوساز,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,2636.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خچرخش,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,1798.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-23,-759,-755,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
خکمک,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,1077.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-30,-759,-748,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ددام,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,7251.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دروز,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,5341.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دسبحا,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,7131.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دسینا,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,13909.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دشیمی,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,6305.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-22,-392,-391,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
دیران,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,5559.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
رانفور,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,12217.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
زمگسا,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,27074.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ساراب,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,1384.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ساربیل,1395,2016-04-18,2015-04-17,2015-04-18,0.0,0.0,0.0,18244.0,ADJUSTED_CLOSE_UNRESOLVED,2014-03-19,2014-03-19,-394,-394,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ساروم,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,4706.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
