sample_design,ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,t_star,t_star_source_range_id,t_star_raw_observation_present,t_star_adjusted_close_present,t_star_qTotCap,t_star_qTotTran5J,t_star_zTotTran,t_star_raw_close,t_star_adjusted_close_status,window_start_calendar_date,t0_trading_date,t0_source_range_id,t0_raw_observation_present,t0_adjusted_close_present,t0_qTotCap,t0_qTotTran5J,t0_zTotTran,t0_raw_close,t0_adjusted_close_status,authorized_range_start,authorized_range_end,first_raw_daily_date,last_raw_daily_date,first_adjusted_price_date,last_adjusted_price_date,window_trading_day_count,missing_price_day_count,zero_traded_value_day_count,usable_daily_return_count,usable_amihud_day_count,equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,primary_root_cause,secondary_root_causes,evidence_status,range_is_partial_source
main_rule_a_primary,فرآور,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0081,True,True,6838004145.0,767855.0,341.0,8905.0,OK,2016-07-19,2016-07-19,RNG0081,True,True,3627212089.0,736368.0,215.0,4926.0,OK,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,28,28,208,208,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فسرب,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0082,True,True,5154561834.0,1853871.0,285.0,2780.0,OK,2016-07-19,2016-07-19,RNG0082,True,True,21822663607.0,8148987.0,730.0,2678.0,OK,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,20,20,217,217,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فسپا,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0083,True,False,0.0,0.0,0.0,2891.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0083,True,False,0.0,0.0,0.0,2805.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,111,111,94,94,False,False,False,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION;G_FEWER_THAN_126_VALID_RETURNS_ONLY,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فمراد,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0084,True,False,0.0,0.0,0.0,3167.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0084,True,False,0.0,0.0,0.0,2466.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-11-01,2020-07-18,243,65,65,174,174,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فملی,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0085,True,False,0.0,0.0,0.0,1884.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0085,True,False,0.0,0.0,0.0,1344.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,33,33,204,204,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فنورد,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0086,True,False,0.0,0.0,0.0,5076.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0086,True,False,0.0,0.0,0.0,4813.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,104,104,103,103,False,False,False,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION;G_FEWER_THAN_126_VALID_RETURNS_ONLY,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فولاژ,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0087,True,False,0.0,0.0,0.0,1803.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0087,True,False,0.0,0.0,0.0,1594.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-15,243,14,14,225,225,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,فپنتا,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0088,True,False,0.0,0.0,0.0,13886.0,ADJUSTED_CLOSE_UNRESOLVED,2016-07-19,2016-07-19,RNG0088,True,True,24553220.0,1600.0,6.0,15243.0,OK,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-14,243,59,59,162,162,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,لابسا,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0089,True,True,1092961069.0,346286.0,76.0,3156.0,OK,2016-07-19,2016-07-19,RNG0089,True,True,729704870.0,329475.0,60.0,2215.0,OK,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-06-21,2020-07-18,243,18,18,219,219,True,True,True,,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
main_rule_a_primary,لبوتان,1395,1396,fold1_validation;fold2_train,2017-07-21,2017-07-19,RNG0090,True,True,1010021133.0,295958.0,132.0,3413.0,OK,2016-07-19,2016-07-19,RNG0090,True,False,0.0,0.0,0.0,2858.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-19,2020-07-18,2014-06-21,2020-07-18,2014-07-02,2020-07-18,243,14,14,224,224,False,True,True,ZERO_TRADE_ENDPOINT_REQUIRES_TRADING_DAY_SEMANTICS_ADJUDICATION,,OBSERVED_FROM_IMMUTABLE_BUNDLE_NO_LIVE_TSETMC_QUERY,False
