ticker,fiscal_year_t,target_year,window_observation_count,zero_trade_day_count,priced_observation_count,current_valid_return_count,max_possible_valid_returns_if_all_zero_trade_rows_are_non_trading,current_endpoint_requirements_pass,classification
سیلام,1395,1396,243,163,80,55,79,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
شدوص,1395,1396,243,181,62,60,61,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غدام,1395,1396,244,207,37,24,36,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غسالم,1395,1396,243,103,140,89,139,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غشهد,1395,1396,243,107,136,113,135,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غنوش,1395,1396,243,223,20,6,19,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فایرا,1395,1396,243,243,0,0,0,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فسپا,1395,1396,243,111,132,94,131,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
فنورد,1395,1396,243,104,139,103,138,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
کگاز,1395,1396,243,142,101,95,100,True,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
ساربیل,1396,1397,243,169,74,33,73,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سبجنو,1396,1397,242,90,152,119,151,True,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
سخاش,1396,1397,242,121,121,74,120,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سخزر,1396,1397,242,136,106,64,105,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سدشت,1396,1397,245,163,82,47,81,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سصفها,1396,1397,242,123,119,78,118,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سمازن,1396,1397,243,183,60,29,59,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سنیر,1396,1397,242,205,37,16,36,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غدام,1396,1397,243,151,92,62,91,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
غنوش,1396,1397,242,228,14,4,13,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فاذر,1396,1397,242,242,0,0,0,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فجام,1396,1397,242,103,139,91,138,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
فجر,1396,1397,242,129,113,80,112,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
فنورد,1396,1397,242,103,139,106,138,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
های وب,1396,1397,215,181,34,31,33,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
زپارس,1397,1398,234,118,116,114,115,False,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
سدشت,1397,1398,243,103,140,109,139,False,POTENTIALLY_RECOVERABLE_PENDING_ZERO_TRADE_DAY_SEMANTICS
غنوش,1397,1398,246,235,11,2,10,True,GUARANTEED_LT126_EVEN_IF_ALL_ZERO_TRADE_ROWS_EXCLUDED
