unique_request_id,ticker,InsCode,endpoint_date,endpoint_occurrence_count,official_calendar_member,calendar_evidence_endpoint,daily_row_present,daily_closing_evidence_endpoint,zTotTran,qTotTran5J,qTotCap,raw_close,zero_trade,trade_history_records,trade_history_empty,trade_evidence_endpoint,literal_state_code,state_meaning,state_evidence_endpoint,adjusted_close_availability,scientific_inclusion_decision
UNQ0038,سرود,11964419322927535,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/11964419322927535,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/11964419322927535/20150719,0.0,0.0,0.0,3003.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/11964419322927535/20150719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/11964419322927535/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0039,سنیر,14231831499205396,2014-07-20,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20140720,0.0,0.0,0.0,20406.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20140720/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20140720,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0040,سنیر,14231831499205396,2015-07-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20150719,0.0,0.0,0.0,17672.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20150719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20150719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0041,سنیر,14231831499205396,2016-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20160718,0.0,0.0,0.0,16013.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20160718/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20160718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0042,سنیر,14231831499205396,2016-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20160719,0.0,0.0,0.0,16013.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20160719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20160719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0043,سنیر,14231831499205396,2017-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20170718,0.0,0.0,0.0,15218.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20170718/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20170718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0044,سنیر,14231831499205396,2017-07-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20170719,0.0,0.0,0.0,15218.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20170719/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20170719,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0045,سنیر,14231831499205396,2018-07-17,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20180717,0.0,0.0,0.0,13360.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20180717/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20180717,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0046,سنیر,14231831499205396,2018-07-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14231831499205396,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14231831499205396/20180718,0.0,0.0,0.0,13360.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14231831499205396/20180718/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14231831499205396/20180718,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0047,سیلام,14617104402836487,2014-05-19,2,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20140519,0.0,0.0,0.0,8507.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20140519/true,A ,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20140519,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0048,سیلام,14617104402836487,2015-05-18,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20150518,0.0,0.0,0.0,6988.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20150518/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20150518,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
UNQ0049,سیلام,14617104402836487,2015-05-19,1,true,https://cdn.tsetmc.com/api/ClosingPrice/GetInstrumentCalendar/14617104402836487,True,https://cdn.tsetmc.com/api/ClosingPrice/GetClosingPriceDaily/14617104402836487/20150519,0.0,0.0,0.0,6988.0,True,0.0,True,https://cdn.tsetmc.com/api/Trade/GetTradeHistory/14617104402836487/20150519/true,IS,UNRESOLVED,https://cdn.tsetmc.com/api/MarketData/GetInstrumentState/14617104402836487/20150519,ADJUSTED_CLOSE_UNRESOLVED,NOT_A_SCIENTIFIC_DECISION_SEE_ADJUDICATION_ARTIFACT
