unique_request_id,InsCode,ISIN,ticker,endpoint_date,occurrence_count,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0105,23936607891892333,IRO1OFST0001,چافست,2019-01-19,2,0.0,0.0,0.0,5617.0
UNQ0106,23936607891892333,IRO1OFST0001,چافست,2020-01-19,1,0.0,0.0,0.0,13903.0
UNQ0107,24079409192818584,IRO1DRKH0001,پدرخش,2015-07-19,2,0.0,0.0,0.0,2816.0
UNQ0108,24079409192818584,IRO1DRKH0001,پدرخش,2017-07-18,1,0.0,0.0,0.0,3899.0
UNQ0109,24079409192818584,IRO1DRKH0001,پدرخش,2017-07-19,1,0.0,0.0,0.0,3899.0
UNQ0110,26824673819862694,IRO1BHMN0001,خبهمن,2015-07-19,2,0.0,0.0,0.0,2329.0
UNQ0111,26824673819862694,IRO1BHMN0001,خبهمن,2017-07-18,1,0.0,0.0,0.0,967.0
UNQ0112,26824673819862694,IRO1BHMN0001,خبهمن,2017-07-19,1,0.0,0.0,0.0,967.0
UNQ0113,26824673819862694,IRO1BHMN0001,خبهمن,2018-07-17,1,0.0,0.0,0.0,730.0
UNQ0114,26824673819862694,IRO1BHMN0001,خبهمن,2018-07-18,1,0.0,0.0,0.0,730.0
UNQ0115,27000326841257664,IRO1SDST0001,سدشت,2013-01-19,1,0.0,0.0,0.0,3058.0
UNQ0116,27000326841257664,IRO1SDST0001,سدشت,2014-01-18,1,0.0,0.0,0.0,3384.0
UNQ0117,27000326841257664,IRO1SDST0001,سدشت,2014-01-20,1,0.0,0.0,0.0,2984.0
UNQ0118,27000326841257664,IRO1SDST0001,سدشت,2015-01-19,2,0.0,0.0,0.0,2458.0
UNQ0119,27000326841257664,IRO1SDST0001,سدشت,2016-01-18,1,0.0,0.0,0.0,2081.0
UNQ0120,27000326841257664,IRO1SDST0001,سدشت,2018-01-17,1,0.0,0.0,0.0,1776.0
UNQ0121,27000326841257664,IRO1SDST0001,سدشت,2018-01-20,1,0.0,0.0,0.0,1776.0
UNQ0122,27218386411183410,IRO1SDOR0001,سدور,2014-07-20,1,0.0,0.0,0.0,16474.0
UNQ0123,27218386411183410,IRO1SDOR0001,سدور,2015-07-19,2,0.0,0.0,0.0,8855.0
UNQ0124,27308217070238237,IRO1CRBN0001,شکربن,2014-07-20,1,0.0,0.0,0.0,2908.0
UNQ0125,27308217070238237,IRO1CRBN0001,شکربن,2015-07-19,2,0.0,0.0,0.0,3117.0
UNQ0126,28672095850798501,IRO1SLMN0001,غسالم,2014-07-16,1,0.0,0.0,0.0,2983.0
UNQ0127,28672095850798501,IRO1SLMN0001,غسالم,2014-07-20,1,0.0,0.0,0.0,2833.0
UNQ0128,28672095850798501,IRO1SLMN0001,غسالم,2015-07-19,2,0.0,0.0,0.0,2039.0
UNQ0129,28672095850798501,IRO1SLMN0001,غسالم,2016-07-18,1,0.0,0.0,0.0,1742.0
UNQ0130,28672095850798501,IRO1SLMN0001,غسالم,2017-07-18,1,0.0,0.0,0.0,2359.0
UNQ0131,28672095850798501,IRO1SLMN0001,غسالم,2017-07-19,1,0.0,0.0,0.0,2359.0
UNQ0132,28672095850798501,IRO1SLMN0001,غسالم,2018-07-17,1,0.0,0.0,0.0,3548.0
UNQ0133,28672095850798501,IRO1SLMN0001,غسالم,2019-07-17,1,0.0,0.0,0.0,20964.0
UNQ0134,28864540805361867,IRO1FKHZ0001,فخوز,2015-07-19,2,0.0,0.0,0.0,3420.0
UNQ0135,28864540805361867,IRO1FKHZ0001,فخوز,2016-07-19,1,0.0,0.0,0.0,2400.0
UNQ0136,30650426998863332,IRO1BOTA0001,لبوتان,2014-07-20,1,0.0,0.0,0.0,2344.0
UNQ0137,30650426998863332,IRO1BOTA0001,لبوتان,2015-07-19,2,0.0,0.0,0.0,2676.0
UNQ0138,30650426998863332,IRO1BOTA0001,لبوتان,2016-07-18,1,0.0,0.0,0.0,2868.0
