row_key,ticker,company_name,fiscal_year,registered_capital,accumulated_loss,equity,operating_cash_flow,total_liabilities,total_assets,net_income,leverage_ratio_used,accumulated_loss_ratio_used,fd_article141_direct,fd_accumulated_loss,fd_negative_equity,fd_ocf_high_leverage,persistent_loss_flag,FD_target_main,FD_target_article141_only,FD_target_persistent_loss_robustness,positive_target_reasons,target_missing_reason,distressed_target_reviewed,target_status_reviewed,distressed_flag_source_reviewed,ocf_resolution_status,statement_scope_status,non_12_month_period_flag,audit_status_clean,data_quality_flag,source_file,industry,prior_distressed_target_reviewed,target_changed_vs_prior,change_reason
فارس|1395,فارس,شرکت صنایع پتروشیمی خلیج فارس,1395,50000000.0,0.0,128910768.0,13166663.0,107188820.0,236099588.0,37156823.0,0.453998,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f03.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1396,فارس,شرکت صنایع پتروشیمی خلیج فارس,1396,50000000.0,0.0,154220528.0,1705955.0,169290432.0,323510960.0,40995760.0,0.523291,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f04.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1397,فارس,شرکت صنایع پتروشیمی خلیج فارس,1397,50000000.0,0.0,175911290.0,30106738.0,259521596.0,435432886.0,41690762.0,0.596008,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f05.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1398,فارس,شرکت صنایع پتروشیمی خلیج فارس,1398,91500000.0,0.0,253014225.0,18333006.0,315904489.0,568918714.0,98602936.0,0.555272,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f06.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1399,فارس,شرکت صنایع پتروشیمی خلیج فارس,1399,143500000.0,0.0,429703611.0,69253342.0,325079721.0,754783332.0,209629386.0,0.430693,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f08.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1400,فارس,شرکت صنایع پتروشیمی خلیج فارس,1400,287000000.0,0.0,753479816.0,52426513.0,355360346.0,1108840162.0,386713929.0,0.320479,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f09.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1401,فارس,شرکت صنایع پتروشیمی خلیج فارس,1401,489500000.0,0.0,1111112102.0,263582779.0,263822177.0,1374934279.0,557560622.0,0.19188,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f10.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فارس|1402,فارس,شرکت صنایع پتروشیمی خلیج فارس,1402,489500000.0,0.0,1542143830.0,312195023.0,146804381.0,1688948211.0,683637795.0,0.086921,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audit_status_unknown,ok,f11.xlsx,محصولات شیمیایی / هلدینگ پتروشیمی,0,0,
فاذر|1393,فاذر,شرکت صنایع آذرآب,1393,1000000.0,0.0,1595400.0,,2139269.0,3734669.0,309567.0,0.572814,0.0,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,deferred_unresolved,separate_or_parent_only_indicated,0,audited_indicated,,فاذر_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فاذر|1394,فاذر,شرکت صنایع آذرآب,1394,1000000.0,0.0,1906748.0,8245.0,2442480.0,4349228.0,370355.0,0.561589,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۳۹۴_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فاذر|1395,فاذر,شرکت صنایع آذرآب,1395,1000000.0,0.0,1938401.0,8245.0,3989586.0,5927987.0,86850.0,0.673009,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فاذر|1396,فاذر,شرکت صنایع آذرآب,1396,1000000.0,0.0,1674011.0,-444021.0,5558315.0,7232326.0,-210687.0,0.768538,0.0,missing,0,0,1,0,1,0,1,ocf_high_leverage,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,1,ocf_neg_high_leverage
فاذر|1397,فاذر,شرکت صنایع آذرآب,1397,1000000.0,0.0,1733428.0,-221428.0,10668435.0,12401863.0,59417.0,0.860228,0.0,missing,0,0,1,0,1,0,1,ocf_high_leverage,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,1,ocf_neg_high_leverage
فاذر|1398,فاذر,شرکت صنایع آذرآب,1398,1000000.0,0.0,1686780.0,168843.0,13292128.0,14978908.0,-36648.0,0.88739,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فاذر|1399,فاذر,شرکت صنایع آذرآب,1399,1000000.0,0.0,1688761.0,-50892.0,16361592.0,18050353.0,1981.0,0.906442,0.0,missing,0,0,1,0,1,0,1,ocf_high_leverage,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,1,ocf_neg_high_leverage
فاذر|1400,فاذر,شرکت صنایع آذرآب,1400,18126475.0,0.0,18455675.0,597511.0,19639768.0,38095443.0,-359561.0,0.515541,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,نامشخص در فایل ارسالی,0,0,
فاذر|1401,فاذر,شرکت صنایع آذرآب,1401,18126475.0,171317.0,19420056.0,-455151.0,20382019.0,39802075.0,-428855.0,0.512084,0.009451,missing,0,0,0,1,0,0,1,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,نامشخص در فایل ارسالی,0,0,
فاذر|1402,فاذر,شرکت صنایع آذرآب,1402,18126475.0,478769.0,19112604.0,-80734.0,20190882.0,39303486.0,-307452.0,0.513717,0.026413,missing,0,0,0,1,0,0,1,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,possible_consolidated_statement,0,audited_indicated,,فاذر_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,نامشخص در فایل ارسالی,0,0,
فباهنر|1393,فباهنر,صنایع مس شهید باهنر,1393,450000.0,0.0,1061752.0,496537.0,4325364.0,5387116.0,135525.0,0.802909,0.0,missing,0,0,0,missing,0,0,missing,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فباهنر_۱۳۹۳_۱۲_۲۹_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۱۲_۲۹ (حسابرسی شده).xlsx,فلزات اساسی,0,0,
فباهنر|1394,فباهنر,صنایع مس شهید باهنر,1394,450000.0,0.0,1085060.0,855106.0,2685782.0,3770842.0,107040.0,0.71225,0.0,missing,0,0,0,0,0,0,0,,,0,complete_canonical_stage106,canonical_formula_stage106,observed_or_verified,separate_or_parent_only_indicated,0,audited_indicated,,فباهنر_۱۳۹۴_۱۲_۲۹_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,فلزات اساسی,0,0,
