ticker,fiscal_year_t,target_year,temporal_folds,predictor_year_gregorian_offset621,predictor_year_gregorian_offset622,cpi_constructible_offset621,cpi_constructible_offset622,fx_constructible_offset621,fx_constructible_offset622,both_constructible_offset621,both_constructible_offset622,fx_zero_change_offset621,fx_zero_change_offset622,status_invariant_across_calendar_conventions,cpi_constructible,fx_constructible,both_constructible,fx_zero_change
رمپنا,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
زمگسا,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
زپارس,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ساراب,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ساربیل,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ساربیل,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ساروم,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
ساروم,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
ساروم,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
ساروم,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ساروم,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سبجنو,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
