ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,window_start_calendar_date,window_first_trading_date,window_last_trading_date,t_star,window_trading_day_count,usable_daily_return_count,usable_amihud_day_count,missing_price_day_count,zero_traded_value_day_count,d2_start_trading_date,d2_end_trading_date,d2_effective_span_days,d2_status,equity_return_d2,d2_no_start_boundary_price,d2_no_end_boundary_price,d2_start_adjusted_close_is_zero,fewer_than_126_valid_returns,realized_volatility,amihud_illiquidity,equity_return_window_d0_historical,in_three_variable_common_sample,m2_value_status
تکمبا,1393,1394,"fold1_train,fold2_train",2015-07-20,2014-07-19,2014-07-20,2015-07-19,2015-07-19,241,198,198,40,40,2014-07-20,2015-07-15,360,OBSERVED_COMPLETE,0.9557739557739557,False,False,False,False,0.02812038823596916,1.1744437840995222e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
تکمبا,1394,1395,"fold1_train,fold2_train",2016-07-19,2015-07-18,2015-07-19,2016-07-18,2016-07-18,247,236,236,7,7,2015-07-20,2016-07-18,364,OBSERVED_COMPLETE,-0.1578947368421053,False,False,False,False,0.02277558665100563,3.3848799256055333e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
تکمبا,1395,1396,"fold1_validation,fold2_train",2017-07-21,2016-07-19,2016-07-19,2017-07-19,2017-07-19,243,225,225,14,14,2016-07-24,2017-07-18,359,OBSERVED_COMPLETE,-0.09566517189835577,False,False,False,False,0.020631756236638207,4.18918220328987e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
تکمبا,1396,1397,"fold1_validation,fold2_train",2018-07-20,2017-07-18,2017-07-18,2018-07-18,2018-07-18,242,212,212,26,26,2017-07-18,2018-07-18,365,OBSERVED_COMPLETE,-0.011570247933884281,False,False,False,False,0.02271828249325842,4.835779067893963e-12,-0.011570247933884281,True,OBSERVED_COMPLETE
تکمبا,1397,1398,fold2_validation,2019-07-20,2018-07-17,2018-07-17,2019-07-17,2019-07-17,246,235,235,6,6,2018-07-17,2019-07-16,364,OBSERVED_COMPLETE,1.408710217755444,False,False,False,False,0.03126902761989319,4.7806915665654126e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
تکمبا,1398,1399,fold2_validation,2020-07-19,2019-07-18,2019-07-20,2020-07-18,2020-07-18,240,228,228,8,8,2019-07-21,2020-07-18,363,OBSERVED_COMPLETE,8.531609195402298,False,False,False,False,0.03173509079210181,1.3592577077317326e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
ثشرق,1393,1394,"fold1_train,fold2_train",2015-01-20,2014-01-19,2014-05-11,2015-01-19,2015-01-19,169,125,125,40,40,,2015-01-19,,UNAVAILABLE: usable_daily_return_count=125 < 126; no valid adjusted_close in start-boundary month,,True,False,False,True,,,,False,OBSERVED_INCOMPLETE: usable_daily_return_count=125 < 126; adjusted_close missing at window start t0; usable_amihud_day_count=125 < 126
ثشرق,1394,1395,"fold1_train,fold2_train",2016-01-20,2015-01-19,2015-01-19,2016-01-19,2016-01-19,246,233,233,9,9,2015-01-19,2016-01-19,365,OBSERVED_COMPLETE,0.14666666666666672,False,False,False,False,0.020662001148198324,1.1950889030295845e-11,0.14666666666666672,True,OBSERVED_COMPLETE
ثشرق,1395,1396,"fold1_validation,fold2_train",2017-01-19,2016-01-18,2016-01-18,2017-01-18,2017-01-18,246,229,229,12,12,2016-01-18,2017-01-18,366,OBSERVED_COMPLETE,0.030000000000000027,False,False,False,False,0.02026827303250083,1.9579633607752453e-11,0.030000000000000027,True,OBSERVED_COMPLETE
ثشرق,1396,1397,"fold1_validation,fold2_train",2018-01-20,2017-01-17,2017-01-17,2018-01-17,2018-01-17,245,228,228,12,12,2017-01-17,2018-01-17,365,OBSERVED_COMPLETE,-0.3203592814371258,False,False,False,False,0.015603967938878565,1.993836050981838e-11,-0.3203592814371258,True,OBSERVED_COMPLETE
