ticker,fiscal_year_t,pair_cutoff_date,t0_trading_date,tN_trading_date,window_trading_day_count,usable_daily_return_count,d0_equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,in_three_variable_common_sample,m2_value_status
سخاش,1396,2018-07-20,2017-07-18,2018-07-18,242,74,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=74 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=74 < 126
سخزر,1396,2018-07-20,2017-07-18,2018-07-18,242,64,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=64 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=64 < 126
سخوز,1396,2018-07-20,2017-07-18,2018-07-18,242,219,True,True,True,True,OBSERVED_COMPLETE
سدشت,1396,2018-01-20,2017-01-17,2018-01-17,245,47,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=47 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=47 < 126
سدور,1396,2018-07-20,2017-07-18,2018-07-18,242,207,True,True,True,True,OBSERVED_COMPLETE
سرود,1396,2018-07-20,2017-07-18,2018-07-18,242,229,True,True,True,True,OBSERVED_COMPLETE
سشرق,1396,2018-01-20,2017-01-17,2018-01-17,245,235,True,True,True,True,OBSERVED_COMPLETE
سصفها,1396,2018-07-20,2017-07-18,2018-07-18,242,78,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=78 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=78 < 126
سغرب,1396,2018-07-20,2017-07-18,2018-07-18,242,224,True,True,True,True,OBSERVED_COMPLETE
سقاین,1396,2018-07-20,2017-07-18,2018-07-18,242,157,True,True,True,True,OBSERVED_COMPLETE
سمازن,1396,2018-04-19,2017-04-18,2018-04-18,243,29,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=29 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=29 < 126
سنیر,1396,2018-07-20,2017-07-18,2018-07-18,242,16,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=16 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=16 < 126
سهگمت,1396,2018-05-20,2017-05-20,2018-05-19,242,232,True,True,True,True,OBSERVED_COMPLETE
سپاها,1396,2018-01-20,2017-01-17,2018-01-17,245,229,True,True,True,True,OBSERVED_COMPLETE
سکرد,1396,2018-01-20,2017-01-17,2018-01-17,245,211,True,True,True,True,OBSERVED_COMPLETE
سیلام,1396,2018-05-20,2017-05-20,2018-05-19,242,139,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
شاراک,1396,2018-07-20,2017-07-18,2018-07-18,242,235,True,True,True,True,OBSERVED_COMPLETE
شبریز,1396,2018-07-20,2017-07-18,2018-07-18,242,219,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
شبندر,1396,2018-07-20,2017-07-18,2018-07-18,242,227,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
شدوص,1396,2018-07-20,2017-07-18,2018-07-18,242,185,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
شفارس,1396,2018-07-20,2017-07-18,2018-07-18,242,233,True,True,True,True,OBSERVED_COMPLETE
شلعاب,1396,2018-07-20,2017-07-18,2018-07-18,242,224,True,True,True,True,OBSERVED_COMPLETE
شپارس,1396,2018-01-20,2017-01-17,2018-01-17,245,222,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
شپنا,1396,2018-07-20,2017-07-18,2018-07-18,242,223,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
شکربن,1396,2018-07-20,2017-07-18,2018-07-18,242,224,True,True,True,True,OBSERVED_COMPLETE
شکلر,1396,2018-01-20,2017-01-17,2018-01-17,245,232,True,True,True,True,OBSERVED_COMPLETE
شیران,1396,2018-04-19,2017-04-18,2018-04-18,243,236,True,True,True,True,OBSERVED_COMPLETE
غبهنوش,1396,2018-07-20,2017-07-18,2018-07-18,242,227,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
غدام,1396,2018-04-19,2017-04-18,2018-04-18,243,62,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=62 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=62 < 126
غسالم,1396,2018-07-20,2017-07-18,2018-07-18,242,147,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
غشان,1396,2018-07-20,2017-07-18,2018-07-18,242,234,True,True,True,True,OBSERVED_COMPLETE
غشهد,1396,2018-07-20,2017-07-18,2018-07-18,242,191,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
غنوش,1396,2018-07-20,2017-07-18,2018-07-18,242,4,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=4 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=4 < 126
غگل,1396,2018-01-20,2017-01-17,2018-01-17,245,208,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
فاذر,1396,2018-07-20,2017-07-18,2018-07-18,242,0,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=0 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=0 < 126
فایرا,1396,2018-07-20,2017-07-18,2018-07-18,242,207,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
فباهنر,1396,2018-07-20,2017-07-18,2018-07-18,242,227,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
فجام,1396,2018-07-20,2017-07-18,2018-07-18,242,91,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=91 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=91 < 126
فجر,1396,2018-07-20,2017-07-18,2018-07-18,242,80,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=80 < 126; adjusted_close missing at window start t0; usable_amihud_day_count=80 < 126
فخوز,1396,2018-07-20,2017-07-18,2018-07-18,242,223,True,True,True,True,OBSERVED_COMPLETE
فرآور,1396,2018-07-20,2017-07-18,2018-07-18,242,230,True,True,True,True,OBSERVED_COMPLETE
فسرب,1396,2018-07-20,2017-07-18,2018-07-18,242,230,True,True,True,True,OBSERVED_COMPLETE
فسپا,1396,2018-07-20,2017-07-18,2018-07-18,242,189,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
فمراد,1396,2018-07-20,2017-07-18,2018-07-18,242,133,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
فملی,1396,2018-07-20,2017-07-18,2018-07-18,242,218,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
فنورد,1396,2018-07-20,2017-07-18,2018-07-18,242,106,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=106 < 126; adjusted_close missing at window end T*; usable_amihud_day_count=106 < 126
فولاژ,1396,2018-07-20,2017-07-18,2018-07-18,242,226,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
فپنتا,1396,2018-07-20,2017-07-18,2018-07-18,242,171,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
لابسا,1396,2018-07-20,2017-07-18,2018-07-18,242,233,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
لبوتان,1396,2018-07-20,2017-07-18,2018-07-18,242,233,True,True,True,True,OBSERVED_COMPLETE
لخزر,1396,2018-07-20,2017-07-18,2018-07-18,242,232,True,True,True,True,OBSERVED_COMPLETE
