row_key,ticker,company_name,fiscal_year,fiscal_year_end,statement_scope,audit_status,correction_status,selected_role,coverage_status,auditor_opinion_type,auditor_opinion_evidence_kind,auditor_opinion_conflict,auditor_report_date,auditor_block_status,source_relative_path,source_sha256,source_file_type,extraction_status,missing_reason,scientific_status
ثنوسا|1402,ثنوسا,NOT_FOUND,1402,1402/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,UNVERIFIED,NONE,,NOT_FOUND,NOT_DETECTED,ثنوسا.zip!ثنوسا_۱۴۰۲_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۴۰۲_۰۶_۳۱ (حسابرسی شده).xlsx,cc6d6afddd3ecd2a29e86463ad719e29965baf1b592bc419df8e42605a1a08d8,HTML_MISLABELED_XLSX,EXTRACTED_PARTIAL,auditor_opinion_type:UNVERIFIED:NO_AUDITOR_BLOCK_DETECTED;auditor_report_date:NOT_FOUND:NO_AUDITOR_BLOCK_DETECTED,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1392,سپاها,سیمان سپاهان,1392,1392/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,,1392/08/01,DETECTED,سپاها.zip!سپاها_۱۳۹۲_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۲_۰۶_۳۱ (حسابرسی شده).xlsx,c7f298463dd69f8288fb4bdf6e7032254c8fbfc0210700474d10ebc378dbe4ff,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1393,سپاها,سیمان سپاهان,1393,1393/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,,1393/08/24,DETECTED,سپاها.zip!سپاها_۱۳۹۳_۰۶_۳۱_separate_ن-۱۰_صورتهای مالی سال مالی منتهی به ۱۳۹۳_۰۶_۳۱ (حسابرسی شده).xlsx,7a7e01f72bdd6dc5804fa6d1e86f8a8328d84f132e2cdc40662125d0599542d8,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1394,سپاها,سیمان سپاهان,1394,1394/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,,1394/08/21,DETECTED,سپاها.zip!سپاها_۱۳۹۴_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۴_۰۶_۳۱ (حسابرسی شده).xlsx,6b46c99343d090042e22feec2420f9ba9894539d6b8e122c91a1a6552ff90749,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1395,سپاها,سیمان سپاهان,1395,1395/06/31,separate,audited,original,original,MATCHED_SEPARATE_VALID,مقبول,UNQUALIFIED_FAIR_FORMULA|HEADING_CELL,,1395/08/24,DETECTED,سپاها.zip!سپاها_۱۳۹۵_۰۶_۳۱_separate_ن-۱۰_صورت‌های مالی سال مالی منتهی به ۱۳۹۵_۰۶_۳۱ (حسابرسی شده).xlsx,0ac9c63449feb3c3d9c0d5f27ace27f23963b87f4a38d5167a2d7ee5132a8d07,OLE2_LEGACY_EXCEL,EXTRACTED_FULL,,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1396,سپاها,NOT_FOUND,1396,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1397,سپاها,NOT_FOUND,1397,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1398,سپاها,NOT_FOUND,1398,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1399,سپاها,NOT_FOUND,1399,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1400,سپاها,NOT_FOUND,1400,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1401,سپاها,NOT_FOUND,1401,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
سپاها|1402,سپاها,NOT_FOUND,1402,NOT_FOUND,unknown,unknown,unknown,,ONLY_CONSOLIDATED_AVAILABLE,UNVERIFIED,NONE,,NOT_FOUND,NO_SOURCE,,,,NO_VALID_SEPARATE_SOURCE,ONLY_CONSOLIDATED_AVAILABLE,OBSERVATIONAL_TEXT_EXTRACTION_NOT_YET_ADMITTED_AS_LOCKED_M4_INPUT
