unique_request_id,request_type,InsCode,ISIN,ticker,endpoint_date,range_start_date,range_end_date,occurrence_count,evidence_reason,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0119,POINT_DATE,22382156782768756,IRO1KGND0001,بکام,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2600.0
UNQ0120,POINT_DATE,22382156782768756,IRO1KGND0001,بکام,2020-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,9120.0
UNQ0121,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2014-04-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,13553.0
UNQ0122,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2014-04-19,,,1,BOTH,0.0,0.0,0.0,13153.0
UNQ0123,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2016-04-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,9019.0
UNQ0124,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2016-04-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,9019.0
UNQ0125,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2017-04-18,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,7087.0
UNQ0126,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2018-04-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6904.0
UNQ0127,POINT_DATE,2254054929817435,IRO1KDPS0001,غدام,2018-04-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6904.0
UNQ0128,POINT_DATE,23837844039713715,IRO1NASI0001,کفرا,2014-07-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,16685.0
UNQ0129,POINT_DATE,23837844039713715,IRO1NASI0001,کفرا,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,16685.0
UNQ0130,POINT_DATE,23837844039713715,IRO1NASI0001,کفرا,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,8793.0
UNQ0131,POINT_DATE,23936607891892333,IRO1OFST0001,چافست,2014-01-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,12344.0
UNQ0132,POINT_DATE,23936607891892333,IRO1OFST0001,چافست,2019-01-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,5617.0
UNQ0133,POINT_DATE,23936607891892333,IRO1OFST0001,چافست,2020-01-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,13903.0
UNQ0134,POINT_DATE,24079409192818584,IRO1DRKH0001,پدرخش,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2816.0
UNQ0135,POINT_DATE,24079409192818584,IRO1DRKH0001,پدرخش,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3899.0
UNQ0136,POINT_DATE,24079409192818584,IRO1DRKH0001,پدرخش,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3899.0
UNQ0137,POINT_DATE,26824673819862694,IRO1BHMN0001,خبهمن,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2329.0
UNQ0138,POINT_DATE,26824673819862694,IRO1BHMN0001,خبهمن,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,967.0
UNQ0139,POINT_DATE,26824673819862694,IRO1BHMN0001,خبهمن,2017-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,967.0
UNQ0140,POINT_DATE,26824673819862694,IRO1BHMN0001,خبهمن,2018-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,730.0
UNQ0141,POINT_DATE,26824673819862694,IRO1BHMN0001,خبهمن,2018-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,730.0
