unique_request_id,request_type,InsCode,ISIN,ticker,endpoint_date,range_start_date,range_end_date,occurrence_count,evidence_reason,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0092,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2015-04-18,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4503.0
UNQ0093,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2016-04-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6918.0
UNQ0094,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2016-04-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,6918.0
UNQ0095,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2017-04-18,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,4850.0
UNQ0096,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2018-04-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2702.0
UNQ0097,POINT_DATE,19471788163911687,IRO1NSPS0001,کفپارس,2018-04-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2702.0
UNQ0098,POINT_DATE,20487994977117557,IRO1SHAD0001,غشهد,2014-07-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2337.0
UNQ0099,POINT_DATE,20487994977117557,IRO1SHAD0001,غشهد,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2337.0
UNQ0100,POINT_DATE,20487994977117557,IRO1SHAD0001,غشهد,2015-07-19,,,2,BOTH,0.0,0.0,0.0,2115.0
UNQ0101,POINT_DATE,20487994977117557,IRO1SHAD0001,غشهد,2017-07-18,,,1,BOTH,0.0,0.0,0.0,2594.0
UNQ0102,POINT_DATE,20487994977117557,IRO1SHAD0001,غشهد,2017-07-19,,,1,BOTH,0.0,0.0,0.0,2594.0
UNQ0103,POINT_DATE,20487994977117557,IRO1SHAD0001,غشهد,2018-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,1736.0
UNQ0104,POINT_DATE,22086876724551482,IRO1MOTJ0001,بموتو,2013-01-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3336.0
UNQ0105,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2013-01-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,16268.0
UNQ0106,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2014-01-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,37442.0
UNQ0107,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2014-01-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,37442.0
UNQ0108,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2015-01-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,19755.0
UNQ0109,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2016-01-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,34086.0
UNQ0110,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2016-01-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,34086.0
UNQ0111,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2017-01-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,40910.0
UNQ0112,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2017-01-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,40910.0
UNQ0113,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2018-01-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,17650.0
UNQ0114,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2018-01-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,17650.0
UNQ0115,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2019-01-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,11121.0
UNQ0116,POINT_DATE,22299894048845903,IRO1GCOZ0001,غگل,2020-01-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,62396.0
UNQ0117,POINT_DATE,22382156782768756,IRO1KGND0001,بکام,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,1682.0
UNQ0118,POINT_DATE,22382156782768756,IRO1KGND0001,بکام,2017-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2600.0
