ticker,ticker_normalized,company_name,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,screening_public_entry_date_jalali,screening_public_entry_date_gregorian,screening_event_type,screening_date_precision,screening_source_type,screening_source_title,screening_source_url,screening_source_confidence,suspected_public_entry_after_1392,estimated_eligibility_rows_changed,estimated_t_plus_1_pairs_changed,tsetmc_instrument_match_status,tsetmc_ordinary_instrument_count,tsetmc_candidate_date,multiple_ordinary_instruments,tsetmc_conflict_flag,screening_status,priority_tier,priority_rank,selection_reason,selected_for_batch02_v2
پسهند,پسهند,صنایع لاستیکی سهند,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,104,no_reliable_evidence_for_public_entry,0
پلاسک,پلاسک,کارخانجات پلاسکوکار سایپا,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,105,no_reliable_evidence_for_public_entry,0
چافست,چافست,شرکت افست,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,106,no_reliable_evidence_for_public_entry,0
چکارن,چکارن,کارتن ایران,10,0,1393,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,107,no_reliable_evidence_for_public_entry,0
کبافق,کبافق,معادن بافق,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,108,no_reliable_evidence_for_public_entry,0
کرازی,کرازی,کارخانجات تولیدی شیشه دارویی رازی,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,109,no_reliable_evidence_for_public_entry,0
کروی,کروی,توسعه معادن روی ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,110,no_reliable_evidence_for_public_entry,0
کفرا,کفرا,فرآورده‌های نسوز ایران,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,111,no_reliable_evidence_for_public_entry,0
کفپارس,کفپارس,فرآورده‌های نسوز پارس,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,112,no_reliable_evidence_for_public_entry,0
کهمدا,کهمدا,شیشه همدان,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,113,no_reliable_evidence_for_public_entry,0
کگاز,کگاز,شیشه و گاز,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,114,no_reliable_evidence_for_public_entry,0
کگل,کگل,معدنی و صنعتی گل گهر,11,0,1392,,,,unknown,,,,no_evidence,unknown,unknown,unknown,network_unreachable,,,0,0,requires_manual_review,E,115,no_reliable_evidence_for_public_entry,0
