ticker,ticker_normalized,company_name,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,has_prelisting_proxy_rows,tsetmc_candidate_status,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_candidate_count,multiple_ordinary_instruments,suspected_public_entry_after_1392,gap_after_1392,estimated_rows_at_risk,estimated_pairs_at_risk,priority_reason,priority_score,priority_rank
شیران,شیران,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,35
فاذر,فاذر,شرکت صنایع آذرآب,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,36
فارس,فارس,شرکت صنایع پتروشیمی خلیج فارس,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,37
فایرا,فایرا,آلومینیوم ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,38
فباهنر,فباهنر,صنایع مس شهید باهنر,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,39
فجام,فجام,شرکت صنعتی جام دارو (سهامی عام),1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,40
فجر,فجر,فولاد امیرکبیر کاشان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,41
فخوز,فخوز,فولاد خوزستان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,42
فرآور,فرآور,فرآوری مواد معدنی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,43
فسرب,فسرب,ملی سرب و روی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,44
