row_key,ticker,fiscal_year,company_name,eligible_listing,eligible_statement_type,statement_scope_canonical,statement_scope_display_fa,statement_scope_display_en,eligible_annual_period,eligible_source_quality,eligible_accounting_quality,eligible_company_main,eligible_company_expanded,eligible_target,predictor_eligible_main,predictor_eligible_expanded,model_exclusion_reason_main,model_exclusion_reason_expanded
شغدیر|1402,شغدیر,1402,شرکت پتروشیمی غدیر,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1393,شیران,1393,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1394,شیران,1394,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1395,شیران,1395,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1396,شیران,1396,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1397,شیران,1397,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1398,شیران,1398,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1399,شیران,1399,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1400,شیران,1400,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1401,شیران,1401,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شیران|1402,شیران,1402,شرکت سرمایه‌گذاری صنایع شیمیایی ایران,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شپارس|1393,شپارس,1393,شرکت بین‌المللی محصولات پارس,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شپارس|1394,شپارس,1394,شرکت بین‌المللی محصولات پارس,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شپارس|1395,شپارس,1395,شرکت بین‌المللی محصولات پارس,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
شپارس|1396,شپارس,1396,شرکت بین‌المللی محصولات پارس,1,1,separate_or_parent_only_indicated,صورت‌های مالی سالانه شرکت اصلی/جداگانه,annual separate financial statements of the company,1,1,1,1,1,1,1,1,,
