row_key,ticker,fiscal_year,source_file,source_url,previous_statement_scope,corrected_statement_scope,correction_basis,timestamp
فملی|1400,فملی,1400,فملي_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1401,فملی,1401,فملي_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فملی|1402,فملی,1402,فملي_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1395,فپنتا,1395,فپنتا_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1396,فپنتا,1396,فپنتا_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1397,فپنتا,1397,فپنتا_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1398,فپنتا,1398,فپنتا_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1399,فپنتا,1399,فپنتا_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1400,فپنتا,1400,فپنتا_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1401,فپنتا,1401,فپنتا_۱۴۰۲_۱۰_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فپنتا|1402,فپنتا,1402,فپنتا_۱۴۰۲_۱۰_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۰_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1396,فولاژ,1396,فولاژ_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1397,فولاژ,1397,فولاژ_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1398,فولاژ,1398,فولاژ_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1399,فولاژ,1399,فولاژ_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1400,فولاژ,1400,فولاژ_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1401,فولاژ,1401,فولاژ_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
فولاژ|1402,فولاژ,1402,فولاژ_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کاوه|1398,کاوه,1398,كاوه_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کاوه|1399,کاوه,1399,كاوه_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کاوه|1400,کاوه,1400,كاوه_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کاوه|1401,کاوه,1401,فایل کامل کننده کاوه.zip | 1.pdf; 2.pdf; 3.pdf; 4.html; 5.pdf; 6.html,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1394,پسهند,1394,پسهند_۱۳۹۴_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۴_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1395,پسهند,1395,پسهند_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1396,پسهند,1396,پسهند_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1397,پسهند,1397,پسهند_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1398,پسهند,1398,پسهند_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1399,پسهند,1399,پسهند_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
پسهند|1400,پسهند,1400,پسهند_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کویر|1397,کویر,1397,كوير_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کویر|1398,کویر,1398,كوير_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کویر|1399,کویر,1399,كوير_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کویر|1400,کویر,1400,كوير_۱۴۰۰_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۰_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کویر|1401,کویر,1401,كوير_۱۴۰۱_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۱_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
کویر|1402,کویر,1402,كوير_۱۴۰۲_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۴۰۲_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
وکغدیر|1392,وکغدیر,1392,,,statement_scope_unknown,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
وکغدیر|1393,وکغدیر,1393,,,statement_scope_unknown,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
وکغدیر|1394,وکغدیر,1394,,,statement_scope_unknown,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
وکغدیر|1395,وکغدیر,1395,,,statement_scope_unknown,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
وکغدیر|1396,وکغدیر,1396,,,statement_scope_unknown,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
وکغدیر|1397,وکغدیر,1397,,,statement_scope_unknown,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
ذوب|1395,ذوب,1395,ذوب_۱۳۹۵_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۵_۱۲_۳۰ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
ذوب|1396,ذوب,1396,ذوب_۱۳۹۶_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۶_۱۲_۲۹ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
ذوب|1397,ذوب,1397,ذوب_۱۳۹۷_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۷_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
ذوب|1398,ذوب,1398,ذوب_۱۳۹۸_۱۲_۲۹_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۸_۱۲_۲۹ (حسابرسی شده).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
ذوب|1399,ذوب,1399,ذوب_۱۳۹۹_۱۲_۳۰_consolidated_ن-۱۰_صورت‌های مالی تلفیقی سال مالی منتهی به ۱۳۹۹_۱۲_۳۰ (حسابرسی شده)(اصلاحیه).xlsx,,possible_consolidated_statement,annual_separate_company_user_confirmed,explicit_data_owner_confirmation,2026-06-21 13:34:23
